send	data	#1,	winSize = 1
recv	ack	#1,	sack	#1
send	data	#2,	winSize = 2
send	data	#3,	winSize = 2
recv	ack	#2,	sack	#2
send	data	#4,	winSize = 3
send	data	#5,	winSize = 3
recv	ack	#3,	sack	#3
send	data	#6,	winSize = 4
send	data	#7,	winSize = 4
recv	ack	#3,	sack	#5
send	data	#8,	winSize = 4
recv	ack	#3,	sack	#7
send	data	#9,	winSize = 4
recv	ack	#3,	sack	#8
send	data	#10,	winSize = 4
resnd	data	#4,	winSize = 4
recv	ack	#3,	sack	#9
send	data	#11,	winSize = 4
recv	ack	#3,	sack	#10
send	data	#12,	winSize = 4
recv	ack	#5,	sack	#4
send	data	#13,	winSize = 5
send	data	#14,	winSize = 5
recv	ack	#5,	sack	#12
send	data	#15,	winSize = 5
recv	ack	#5,	sack	#13
send	data	#16,	winSize = 5
recv	ack	#5,	sack	#14
send	data	#17,	winSize = 5
resnd	data	#6,	winSize = 5
recv	ack	#5,	sack	#15
send	data	#18,	winSize = 5
recv	ack	#5,	sack	#5
recv	ack	#5,	sack	#5
recv	ack	#5,	sack	#18
send	data	#19,	winSize = 5
recv	ack	#5,	sack	#19
send	data	#20,	winSize = 5
time	out,	threshold = 2,	winSize = 1
resnd	data	#6,	winSize = 1
recv	ack	#10,	sack	#6
resnd	data	#11,	winSize = 2
resnd	data	#16,	winSize = 2
recv	ack	#15,	sack	#11
resnd	data	#17,	winSize = 2
recv	ack	#16,	sack	#16
resnd	data	#20,	winSize = 3
send	data	#21,	winSize = 3
recv	ack	#19,	sack	#17
send	data	#22,	winSize = 3
recv	ack	#20,	sack	#20
send	data	#23,	winSize = 3
recv	ack	#20,	sack	#22
send	data	#24,	winSize = 3
recv	ack	#20,	sack	#23
send	data	#25,	winSize = 3
recv	ack	#20,	sack	#24
send	data	#26,	winSize = 3
resnd	data	#21,	winSize = 3
recv	ack	#20,	sack	#26
send	data	#27,	winSize = 3
recv	ack	#24,	sack	#21
send	data	#28,	winSize = 4
send	data	#29,	winSize = 4
recv	ack	#24,	sack	#27
send	data	#30,	winSize = 4
recv	ack	#24,	sack	#28
send	data	#31,	winSize = 4
recv	ack	#24,	sack	#29
send	data	#32,	winSize = 4
resnd	data	#25,	winSize = 4
